City,Country,Temperature (F),Date,Humidity %,Cloud,Wind Speed,Lat,Lng
Busselton,AU,57.24,1613157827,89,0,11.54,-33.65,115.3333
Lompoc,US,54.23,1613157828,62,20,17.27,34.6391,-120.4579
Nikolskoye,RU,0.68,1613157829,78,75,6.71,59.7035,30.7861
Adavere,EE,6.93,1613157830,85,90,3.44,58.7086,25.8994
Alofi,NU,78.8,1613157831,94,99,6.91,-19.0595,-169.9187
Santiago,CL,80.2,1613157536,50,40,5.75,-33.4569,-70.6483
Muisne,EC,84.2,1613157839,84,40,4.61,0.6,-80.0333
Cape Town,ZA,70.54,1613157542,83,20,19.57,-33.9258,18.4232
Mataura,NZ,50.0,1613157842,94,98,1.99,-46.1927,168.8643
Albany,US,17.8,1613157843,34,100,5.21,42.6001,-73.9662
Zittau,DE,15.66,1613157846,92,0,7.0,50.9,14.8333
Ushuaia,AR,60.8,1613157680,41,20,21.85,-54.8,-68.3
Vaini,TO,80.6,1613157856,89,40,5.75,-21.2,-175.2
Punta Arenas,CL,59.0,1613157736,41,0,19.57,-53.15,-70.9167
Morrisburg,CA,6.71,1613157862,47,20,8.05,44.9001,-75.1826
Arraial do Cabo,BR,82.11,1613157666,74,90,20.71,-22.9661,-42.0278
Port Alfred,ZA,73.0,1613157864,93,73,5.99,-33.5906,26.891
Torquay,GB,34.27,1613157868,60,49,1.01,50.4638,-3.5143
Ponta do Sol,PT,57.58,1613157869,74,9,1.99,32.6667,-17.1
Puerto Ayora,EC,81.59,1613157874,74,20,6.91,-0.7393,-90.3518
Sørkjosen,NO,28.4,1613157875,64,40,18.41,69.8,20.9333
Longyearbyen,SJ,10.4,1613157876,79,90,17.27,78.2186,15.6401
Yangi Marg`ilon,UZ,48.2,1613157877,49,100,4.61,40.4272,71.7189
Hermanus,ZA,72.0,1613157882,81,23,2.66,-34.4187,19.2345
Port Elizabeth,ZA,73.4,1613157885,94,75,20.71,-33.918,25.5701
Halifax,CA,26.4,1613157751,74,75,14.97,44.6453,-63.5724
General José Eduvigis Díaz,PY,87.8,1613157849,40,20,9.22,-27.1667,-58.4167
Sainte-Claire,CA,7.32,1613157890,63,100,5.01,46.6006,-70.8649
Görele,TR,46.4,1613157891,93,75,24.16,41.0308,39.0031
Pemberton,CA,9.18,1613157893,37,20,5.75,50.3164,-122.8027
Avarua,CK,82.4,1613157895,74,9,2.3,-21.2078,-159.775
Puri,IN,71.6,1613157898,88,100,1.14,19.8,85.85
Tasiilaq,GL,30.2,1613157901,74,90,28.77,65.6145,-37.6368
Port Hawkesbury,CA,27.54,1613157902,93,90,12.66,45.6169,-61.3485
Liepāja,LV,19.4,1613157903,93,90,2.3,56.5419,21.0367
Mabaruma,GY,77.0,1613157905,88,75,13.8,8.2,-59.7833
Rock Island,US,3.22,1613157611,61,1,13.8,41.45,-90.5168
Ribeira Grande,PT,60.8,1613157910,72,20,20.71,38.5167,-28.7
Kahului,US,72.01,1613157911,56,20,3.44,20.8947,-156.47
La Malbaie,CA,11.07,1613157657,61,100,16.11,47.6575,-70.1559
Ocho Rios,JM,81.0,1613157917,70,0,18.01,18.4025,-77.1048
Jamestown,US,25.68,1613157668,50,40,6.91,42.097,-79.2353
Hilo,US,73.6,1613157784,50,1,2.17,19.7297,-155.09
Katsuura,JP,47.16,1613157925,66,75,5.75,35.1333,140.3
North Platte,US,-1.71,1613157926,71,90,12.66,41.1239,-100.7654
Yellowknife,CA,-14.42,1613157928,76,20,2.3,62.456,-114.3525
Hobart,AU,56.34,1613157934,72,20,6.91,-42.8794,147.3294
Chapais,CA,-0.4,1613157936,78,90,8.05,49.7834,-74.8492
New Norfolk,AU,54.68,1613157938,74,38,1.99,-42.7826,147.0587
Thompson,CA,-22.0,1613157940,69,1,3.44,55.7435,-97.8558
Tías,ES,66.2,1613157941,72,40,14.97,28.9611,-13.645
Smithers,CA,-2.2,1613157943,65,75,11.5,54.7804,-127.1743
Hita,JP,50.34,1613157944,38,100,3.83,33.3167,130.9333
Mar del Plata,AR,70.18,1613157673,94,90,14.97,-38.0023,-57.5575
Clyde River,CA,-4.0,1613157946,84,75,14.97,70.4692,-68.5914
Orán,AR,91.0,1613157949,56,89,1.01,-23.1322,-64.326
Sandpoint,US,8.89,1613157919,27,1,21.85,48.2766,-116.5533
The Pas,CA,-23.8,1613157952,62,1,6.91,53.8251,-101.2541
Bluff,NZ,50.0,1613157958,94,100,1.99,-46.6,168.3333
Yārāda,IN,69.8,1613157799,88,100,2.3,17.65,83.2667
Ambon City,ID,78.8,1613157966,89,40,10.36,-3.6954,128.1814
Tuatapere,NZ,50.0,1613157967,94,100,1.99,-46.1333,167.6833
Kaeo,NZ,55.99,1613157968,94,0,5.12,-35.1,173.7833
Souillac,MU,77.0,1613157970,83,40,11.5,-20.5167,57.5167
Barrow,US,-11.2,1613157974,70,40,10.36,71.2906,-156.7887
Yulara,AU,60.8,1613157977,88,90,19.57,-25.2406,130.9889
Meadow Lake,US,55.13,1613157819,28,75,16.11,34.8014,-106.5436
Sitka,US,37.4,1613157979,23,1,13.8,57.0531,-135.33
Estelle,US,48.13,1613157986,87,90,9.22,29.8458,-90.1067
Kapaa,US,72.61,1613157991,64,40,10.36,22.0752,-159.319
George Town,MY,80.15,1613157939,83,20,4.92,5.4112,100.3354
Vigrestad,NO,16.0,1613158002,79,0,2.3,58.5667,5.7
Narsaq,GL,44.6,1613158005,29,75,35.68,60.9167,-46.05
Saint George,US,59.31,1613157708,44,40,4.61,37.1041,-113.5841
Eilat,IL,68.0,1613158008,42,0,6.91,29.5581,34.9482
Lakes Entrance,AU,60.01,1613158011,87,45,8.99,-37.8811,147.981
Saint Paul Harbor,US,33.8,1613158015,80,90,25.32,57.79,-152.4072
Mayskiy,RU,30.2,1613158021,86,75,24.61,47.6931,40.1025
Kinsale,IE,40.08,1613158022,93,90,21.85,51.7075,-8.5306
Isangel,VU,77.0,1613158023,94,90,5.28,-19.55,169.2667
Fortuna,US,50.47,1613157928,100,75,8.05,40.5982,-124.1573
Kristinehamn,SE,23.43,1613158031,58,0,6.91,59.3098,14.1081
Mindelo,CV,71.6,1613158036,73,75,27.63,16.8901,-24.9804
Notre-Dame-du-Lac,CA,20.17,1613158037,63,79,6.91,47.6136,-68.7964
Tuktoyaktuk,CA,-0.4,1613158039,71,75,9.22,69.4541,-133.0374
Rio Grande,BR,76.86,1613158040,73,40,13.8,-32.035,-52.0986
Betanzos,ES,53.96,1613158043,82,0,8.05,43.2804,-8.2147
Bredasdorp,ZA,71.6,1613158044,73,1,6.91,-34.5322,20.0403
Port Hardy,CA,31.59,1613158045,47,75,24.16,50.6996,-127.4199
Coyhaique,CL,75.2,1613158020,29,0,6.91,-45.5752,-72.0662
Pagudpud,PH,69.8,1613158048,88,75,3.44,18.5616,120.7868
Salta,AR,78.8,1613158049,44,40,12.66,-24.7859,-65.4117
Dawson Creek,CA,1.4,1613158053,66,1,4.61,55.7666,-120.2362
Coatepec Harinas,MX,72.75,1613158055,15,20,11.5,18.8949,-99.7215
Natal,BR,86.0,1613157866,70,40,19.57,-5.795,-35.2094
Fes,MA,51.8,1613157961,87,75,2.3,34.0372,-4.9998
Brae,GB,37.4,1613158062,56,75,24.16,60.3964,-1.353
Pecos,US,24.8,1613158063,93,90,11.5,31.4229,-103.4932
Bambous Virieux,MU,77.0,1613158064,83,40,11.5,-20.3428,57.7575
Kruisfontein,ZA,78.01,1613158065,76,100,8.99,-34.0033,24.7314
Jizan,SA,78.8,1613158067,73,0,3.44,17.3333,42.6667
Necochea,AR,77.0,1613158068,72,100,10.0,-38.5473,-58.7368
Cheney,US,12.85,1613157929,34,90,16.11,47.4874,-117.5758
Kathu,TH,81.77,1613157784,88,20,5.75,7.9178,98.3332
Sakakah,SA,64.4,1613158071,39,0,10.36,29.9697,40.2064
Westport,US,29.77,1613157917,31,90,5.75,41.1415,-73.3579
Mosta,MT,57.36,1613158077,82,20,6.91,35.9092,14.4256
Kaitangata,NZ,52.0,1613158078,90,81,1.01,-46.2817,169.8464
Santo André,BR,77.14,1613158079,57,75,6.91,-23.6639,-46.5383
Itoman,JP,65.12,1613158080,94,40,9.22,26.1247,127.6694
Jaguaruna,BR,79.0,1613158081,32,100,9.66,-28.615,-49.0256
San Andrés,CO,86.0,1613157801,62,20,11.5,12.5847,-81.7006
Agua Dulce,MX,87.8,1613158084,45,40,23.02,18.1333,-94.1333
Bandrele,YT,84.2,1613158085,74,90,11.5,-12.9067,45.1914
Esperance,AU,57.2,1613158087,88,0,4.61,-33.8667,121.9
Belmonte,BR,84.96,1613158088,66,20,9.22,-15.8631,-38.8828
Coquimbo,CL,68.0,1613158089,68,20,13.8,-29.9533,-71.3436
East London,ZA,77.0,1613157798,78,0,10.36,-33.0153,27.9116
Ancud,CL,68.83,1613158093,49,0,5.75,-41.8697,-73.8203
Manicoré,BR,87.8,1613158094,62,40,4.61,-5.8092,-61.3003
Chekhov,RU,6.94,1613158096,78,90,15.66,55.1431,37.4711
Palmer,US,23.68,1613158097,38,75,3.44,42.1584,-72.3287
Tiarei,PF,80.29,1613157821,69,75,11.5,-17.5333,-149.3333
Shimoda,JP,41.0,1613158091,86,86,1.01,34.6667,138.95
Saint-Philippe,RE,74.01,1613158104,65,40,12.66,-21.3585,55.7679
Whitley Bay,GB,30.96,1613158107,64,90,9.22,55.0397,-1.4471
Manta,EC,82.4,1613158108,78,40,8.05,-0.95,-80.7333
Bethel,US,26.55,1613158005,28,90,10.36,41.3712,-73.414
Ketchikan,US,33.8,1613158112,34,1,20.71,55.3422,-131.6461
Bartlesville,US,15.01,1613158113,77,99,5.01,36.7473,-95.9808
Berlevåg,NO,13.33,1613158114,73,0,12.66,70.8578,29.0864
Vidisha,IN,64.4,1613158118,55,0,6.91,23.5333,77.8167
Knysna,ZA,71.6,1613158119,94,75,4.61,-34.0363,23.0471
Carnarvon,AU,75.2,1613158121,100,28,9.22,-24.8667,113.6333
Pisticci,IT,47.57,1613158126,66,20,6.91,40.3906,16.5568
Grand Gaube,MU,77.0,1613158127,79,50,4.0,-20.0064,57.6608
Wakefield,GB,30.36,1613158129,52,67,3.0,53.6809,-1.499
Tallahassee,US,76.48,1613158131,69,90,1.72,30.4383,-84.2807
Bykovo,RU,6.87,1613158134,85,75,15.66,55.6361,38.0803
Menzelinsk,RU,17.6,1613158136,93,90,4.47,55.7271,53.1026
Katherine,AU,77.0,1613158093,94,75,1.14,-14.4667,132.2667
Goderich,CA,15.8,1613158141,73,100,8.05,43.7501,-81.7165
Myre,NO,25.56,1613158143,93,75,8.05,69.1036,15.9492
Saint-Louis,SN,89.6,1613158154,18,0,2.3,16.3333,-15.0
São Gabriel da Cachoeira,BR,91.4,1613158156,58,40,9.22,-0.1303,-67.0892
Alice Springs,AU,68.0,1613158158,100,90,10.36,-23.7,133.8833
Crotone,IT,48.2,1613158159,81,75,3.44,39.0851,17.1178
Kaffrine,SN,102.2,1613158162,12,0,6.91,14.1059,-15.5508
Klaksvík,FO,37.4,1613158167,65,75,21.85,62.2266,-6.589
Skibbereen,IE,39.2,1613158168,93,90,21.85,51.55,-9.2667
Zorritos,PE,89.6,1613158170,58,75,4.61,-3.6805,-80.6782
Palora,EC,69.8,1613157948,88,90,2.3,-1.7,-77.9333
Chicama,PE,77.0,1613158175,78,36,12.66,-7.8447,-79.1469
Chengzhong,CN,48.2,1613158179,100,0,4.47,30.95,113.55
Zatoka,UA,14.0,1613158180,62,0,17.9,46.0725,30.4654
Vestmannaeyjar,IS,41.0,1613158182,81,75,48.34,63.4427,-20.2734
San Fernando,PH,75.2,1613158185,78,75,4.61,15.0286,120.6898
Norman Wells,CA,-9.4,1613158188,77,1,5.75,65.282,-126.8329
Bundaberg,AU,69.57,1613158189,88,40,3.42,-24.85,152.35
Vasylivka,UA,14.0,1613158191,79,75,20.13,47.4369,35.2742
Mehamn,NO,15.62,1613157825,73,0,12.66,71.0357,27.8492
Monroe,US,18.32,1613157986,67,75,9.22,43.1501,-77.6831
Macapá,BR,95.0,1613158087,55,75,13.8,0.0389,-51.0664
Yima,CN,54.0,1613158086,99,100,5.17,34.7381,111.8839
Mastic Beach,US,28.38,1613158204,31,90,9.22,40.7668,-72.8521
Mahébourg,MU,77.0,1613158209,83,40,11.5,-20.4081,57.7
Dunedin,NZ,57.99,1613158213,78,100,14.0,-45.8742,170.5036
Paducah,US,23.97,1613158215,80,90,14.97,37.0834,-88.6001
Moose Factory,CA,-2.2,1613158217,60,90,12.66,51.2585,-80.6094
La Providencia,MX,75.0,1613158219,32,90,13.0,28.7167,-111.5833
Nikel,RU,-5.8,1613158222,84,40,2.3,69.4128,30.222
Lata,PT,53.6,1613158146,85,100,1.88,40.1629,-8.3327
Cabo San Lucas,MX,70.38,1613158055,60,1,11.5,22.8909,-109.9124
Bryukhovychi,UA,10.2,1613158237,72,90,15.66,49.9047,23.9597
Jām Sāhib,PK,66.2,1613158238,59,38,4.61,26.2958,68.6292
Hasaki,JP,36.36,1613158240,81,75,3.44,35.7333,140.8333
Safaga,EG,66.2,1613158241,37,0,10.36,26.7292,33.9365
San Gavino Monreale,IT,55.6,1613158243,88,0,4.61,39.5514,8.7917
Palmas,BR,82.4,1613158244,83,75,8.05,-10.2128,-48.3603
Morgan City,US,45.27,1613158245,87,90,10.36,29.6994,-91.2068
Faya,SA,59.9,1613158246,72,20,4.61,18.3851,42.4509
Ţahţā,EG,60.89,1613158250,27,0,9.22,26.7693,31.5021
Pontianak,ID,75.2,1613158252,100,100,3.44,-0.0333,109.3333
Peniche,PT,53.69,1613158253,89,100,3.0,39.3558,-9.3811
Qaqortoq,GL,44.6,1613158255,29,75,35.68,60.7167,-46.0333
La Ronge,CA,-18.4,1613158258,69,73,4.61,55.1001,-105.2842
Charleston,US,46.92,1613157965,100,90,8.05,32.7766,-79.9309
Port Macquarie,AU,68.52,1613158261,99,99,6.29,-31.4333,152.9167
Abbeville,FR,26.01,1613158210,75,0,15.68,50.1,1.8333
Bowen,AU,68.0,1613158265,94,100,5.66,-20.0167,148.2333
Paita,PE,91.4,1613158266,46,40,14.97,-5.0892,-81.1144
Port Augusta,AU,56.57,1613158267,68,90,13.8,-32.5,137.7667
Florianópolis,BR,77.97,1613158268,88,75,9.22,-27.6146,-48.5012
Los Llanos de Aridane,ES,62.51,1613158064,60,40,10.36,28.6585,-17.9182
Husavik,IS,32.0,1613158181,69,20,13.8,66.0449,-17.3389
Batemans Bay,AU,63.86,1613158209,82,100,4.0,-35.7167,150.1833
Hamamatsu,JP,49.26,1613158278,85,80,1.01,34.7,137.7333
Lidköping,SE,22.41,1613158279,53,0,9.22,58.5052,13.1577
Ilulissat,GL,3.2,1613158283,66,20,3.44,69.2167,-51.1
Esmeraldas,BR,70.97,1613158288,94,75,6.91,-19.7625,-44.3139
Vicksburg,US,33.8,1613158291,100,90,11.5,32.3526,-90.8779
Mackay,AU,66.79,1613158292,88,81,3.44,-21.15,149.2
Sibu,MY,75.07,1613158295,100,20,0.92,2.3,111.8167
Matagami,CA,-2.2,1613158296,71,90,10.36,49.7502,-77.6328
Vila Franca do Campo,PT,60.58,1613158298,82,20,8.05,37.7167,-25.4333
Asău,RO,14.0,1613158281,46,29,10.69,46.4333,26.4
Vestmanna,FO,37.4,1613158302,65,75,21.85,62.1564,-7.1664
Virginia Beach,US,38.05,1613158304,87,90,12.66,36.8529,-75.978
Rabo de Peixe,PT,60.64,1613158128,82,20,8.05,37.8,-25.5833
Fort Dodge,US,-4.74,1613158313,54,1,10.36,42.4975,-94.168
Valparaíso,CL,66.99,1613158315,77,75,5.75,-33.0393,-71.6273
Rockhampton,AU,68.0,1613158273,88,37,1.19,-23.3833,150.5
Saýat,TM,55.4,1613158318,50,0,9.22,38.7839,63.8803
Burg,DE,17.67,1613158320,91,0,6.78,51.8333,14.15
Anloga,GH,84.2,1613158324,84,20,9.22,5.7947,0.8973
Saint-André-les-Vergers,FR,27.27,1613158326,59,0,9.22,48.2853,4.0521
Inhambane,MZ,78.39,1613158327,89,75,17.27,-23.865,35.3833
Emerald,AU,69.8,1613158328,83,1,3.44,-23.5333,148.1667
Green River,US,12.2,1613158266,85,90,10.36,41.5286,-109.4662
Pangnirtung,CA,-5.8,1613158330,84,40,2.1,66.1451,-65.7125
San Cristobal,VE,91.4,1613158054,43,40,6.91,7.7669,-72.225
Christchurch,NZ,58.44,1613158192,87,90,4.61,-43.5333,172.6333
Pahrump,US,50.31,1613158060,59,4,5.99,36.2083,-115.9839
Cayenne,GF,82.4,1613158118,83,75,16.11,4.9333,-52.3333
Havøysund,NO,26.6,1613158343,100,90,23.02,70.9963,24.6622
Luanda,AO,80.6,1613158346,78,0,9.22,-8.8368,13.2343
La Libertad,EC,86.0,1613158347,66,0,9.22,-2.2333,-80.9
Talcahuano,CL,68.0,1613158352,73,40,8.05,-36.7167,-73.1167
Hamilton,US,31.71,1613158334,51,20,5.75,39.1834,-84.5333
Galveston,US,41.99,1613158363,81,90,20.71,29.3669,-94.9669
Tateyama,JP,46.0,1613158330,70,64,5.99,34.9833,139.8667
Alexandria,EG,62.6,1613158366,67,0,5.75,31.2156,29.9553
Ulladulla,AU,64.69,1613158368,100,90,14.97,-35.35,150.4667
Riverton,US,44.56,1613158369,81,90,9.22,40.5219,-111.9391
Fairbanks,US,-9.83,1613158375,77,1,1.86,64.8378,-147.7164
Comodoro Rivadavia,AR,68.0,1613158378,60,0,13.8,-45.8667,-67.5
Izvoarele Sucevei,RO,10.33,1613158381,68,100,1.01,47.75,25.1833
Acajutla,SV,86.0,1613158094,45,20,2.3,13.5928,-89.8275
Pochutla,MX,86.52,1613158384,51,20,17.27,15.7432,-96.4661
Mel'nikovo,RU,-23.64,1613158386,79,7,4.74,56.5558,84.085
Banjar,ID,77.0,1613158392,94,75,2.3,-8.19,114.9675
Palencia,ES,44.35,1613158395,72,14,4.0,42.4167,-4.5
Salalah,OM,73.4,1613158396,49,0,3.44,17.0151,54.0924
Luleå,SE,12.2,1613158145,92,0,7.63,65.5842,22.1547
Hong Kong,HK,60.98,1613158206,80,43,6.24,22.2855,114.1577
Oranjestad,AW,86.0,1613158401,62,40,24.16,12.524,-70.027
Mount Gambier,AU,57.2,1613158284,100,90,4.61,-37.8333,140.7667
Arandis,NA,70.0,1613158403,87,67,3.0,-22.4167,14.9667
Nome,US,28.4,1613158119,80,90,24.16,64.5011,-165.4064
Coihueco,CL,77.0,1613158159,53,75,4.61,-36.6167,-71.8333
Sioni,GE,42.8,1613158410,70,3,8.05,41.9895,45.0239
Laguna,US,56.01,1613158411,67,1,3.44,38.421,-121.4238
Flinders,AU,68.16,1613158121,93,100,7.0,-34.5833,150.8552
Bathsheba,BB,80.6,1613158310,61,40,21.85,13.2167,-59.5167
Río Gallegos,AR,75.2,1613158429,20,0,10.36,-51.6226,-69.2181
Nuuk,GL,19.2,1613158440,79,40,11.5,64.1835,-51.7216
Edgecumbe,NZ,61.9,1613158442,78,2,4.0,-37.9833,176.8333
Glens Falls,US,15.75,1613158257,46,100,2.77,43.3095,-73.644
Pitimbu,BR,86.0,1613158451,70,20,14.97,-7.4706,-34.8086
Langham,CA,-11.2,1613158453,64,40,10.36,52.3668,-106.9679
Machico,PT,57.36,1613158454,77,20,2.3,32.7,-16.7667
Coolum Beach,AU,66.79,1613158455,83,56,1.99,-26.5333,153.1
Mariestad,SE,20.05,1613158457,73,0,4.61,58.7097,13.8237
Kattivākkam,IN,71.6,1613158459,83,20,2.3,13.2167,80.3167
Artyom,AZ,48.2,1613158322,87,75,26.46,40.4723,50.333
Rucheng,CN,50.34,1613158462,77,67,6.2,32.3883,120.5553
Dubbo,AU,69.8,1613158465,94,90,5.75,-32.25,148.6167
Tan An,VN,75.2,1613158184,83,40,9.22,10.5333,106.4167
Boralday,KZ,30.2,1613158469,100,90,4.47,43.3578,76.8594
Nieuw Amsterdam,SR,79.79,1613158471,83,40,9.22,5.8833,-55.0833
Martapura,ID,75.2,1613158472,100,75,3.44,-3.4167,114.85
Kenai,US,23.61,1613158473,68,20,14.97,60.5544,-151.2583
Mhlume,SZ,73.0,1613158478,95,100,7.05,-26.0333,31.85
Homer,US,31.96,1613158480,69,90,8.05,59.6425,-151.5483
Torbay,CA,30.78,1613158481,86,90,25.32,47.6666,-52.7314
Baraboo,US,2.88,1613158216,60,1,9.22,43.4711,-89.7443
Billings Metropolitan Area,US,-6.79,1613158438,64,75,3.44,45.7833,-108.5007
Port Hueneme,US,62.1,1613158496,59,1,24.16,34.1478,-119.1951
Mount Isa,AU,80.6,1613158397,74,100,4.61,-20.7333,139.5
Hofn,IS,39.2,1613158502,70,75,17.27,64.2539,-15.2082
Campbellsville,US,26.6,1613158503,100,90,6.93,37.3434,-85.3419
Vila,PT,48.99,1613158505,91,100,8.01,42.0304,-8.1588
Bereda,ES,48.25,1613158506,89,100,3.0,43.2686,-7.5406
Vardø,NO,15.8,1613158507,92,75,13.8,70.3705,31.1107
Anderson,US,39.88,1613158508,81,90,11.5,34.5334,-82.6499
Buraidah,SA,66.2,1613158426,55,0,6.91,26.326,43.975
Ponta Delgada,PT,60.51,1613158472,82,20,8.05,37.7333,-25.6667
São João da Barra,BR,82.4,1613158513,61,0,18.41,-21.6403,-41.0511
Chacabuco,AR,82.0,1613158485,68,69,4.0,-34.6417,-60.4739
Hervey Bay,AU,70.0,1613158436,79,51,3.53,-25.2986,152.8535
Henties Bay,NA,70.0,1613158519,87,49,3.0,-22.116,14.2845
Avera,US,43.12,1613158360,82,90,8.05,33.194,-82.5271
Alta Floresta,BR,78.8,1613158523,89,75,4.61,-9.8756,-56.0861
College,US,-9.67,1613158526,70,20,3.44,64.8569,-147.8028
Upata,VE,86.0,1613158528,68,58,5.99,8.0086,-62.3989
Forst,DE,18.72,1613158530,84,10,3.0,51.7333,14.6333
Liverpool,GB,30.6,1613158535,64,90,19.57,53.4106,-2.9779
Todos Santos,MX,66.0,1613158540,84,0,7.0,23.45,-110.2167
Padang,ID,75.2,1613158541,88,90,2.3,-0.9492,100.3543
Russell,US,62.56,1613158544,77,90,5.55,32.3502,-85.1999
Teshie,GH,84.2,1613158546,84,0,12.66,5.5836,-0.1072
Kommunar,RU,1.4,1613158279,78,75,6.71,59.6206,30.39
Nantucket,US,23.94,1613158554,74,1,10.36,41.2835,-70.0995
Tautira,PF,81.21,1613158555,69,75,13.8,-17.7333,-149.15
Zermatt,CH,16.43,1613158556,100,90,16.11,46.0213,7.7491
Khani,GE,53.6,1613158557,76,90,23.02,41.9563,42.9566
Haines Junction,CA,-22.0,1613158565,63,0,0.58,60.7522,-137.5108
Walvis Bay,NA,68.92,1613158396,83,100,6.91,-22.9575,14.5053
Touros,BR,86.0,1613158568,66,40,14.97,-5.1989,-35.4608
Saint Anthony,US,-4.97,1613158569,49,1,10.36,45.0205,-93.218
Koutsouras,GR,57.0,1613158575,70,18,2.84,35.0339,25.9469
Camacha,PT,60.8,1613158365,77,0,5.75,33.0833,-16.3333
Iraan,US,26.6,1613158578,93,90,11.03,30.914,-101.8979
Itajaí,BR,75.2,1613158580,94,40,6.91,-26.9078,-48.6619
Quatre Cocos,MU,77.0,1613158581,83,40,11.5,-20.2078,57.7625
Kallithea,GR,51.84,1613158582,71,20,4.61,37.95,23.7
